$sig_U_00_up
    Row.names         V1       V2       V3 1_hab00_mean 2_uncut_mean     theta      prob    log2FC
17  ML122312a  ML122312a     ERN2 1.34e-39     2.616667    0.0050000 2.3479262 1.0000000 9.0315863
28   ML24994a   ML24994a    NPTX2 4.84e-07    34.013333    0.4966667 1.8021886 1.0000000 6.0976787
4    ML01109a   ML01109a     SOD1 3.59e-18     1.256667    0.0500000 1.1195752 0.9985139 4.6515301
32  ML279834a  ML279834a     RTL1 1.53e-15     4.650000    0.4283333 0.8729095 0.9568230 3.4404249
11  ML040510a  ML040510a    HMCN1 3.30e-14     2.116667    0.2400000 1.0193904 0.9819181 3.1406878
25   ML22301a   ML22301a      ZAN 1.42e-17    88.380000   10.0266667 2.5525169 1.0000000 3.1398779
27  ML234530a  ML234530a       TG 1.27e-06    43.263333    7.4933333 1.0662731 0.9854616 2.5294653
24   ML22181a   ML22181a     PIF1 1.33e-06    30.043333    5.9466667 1.1629094 0.9898483 2.3368918
5   ML015618a  ML015618a    CRYGN 5.20e-06    16.703333    3.5666667 1.1239543 0.9985647 2.2274877
31   ML27421a   ML27421a     PIF1 5.65e-08    59.770000   14.6966667 1.1913254 0.9840512 2.0239326
7   ML019233a  ML019233a    MUC19 3.44e-16    84.733333   24.3700000 2.5637591 1.0000000 1.7978234
22  ML182032a  ML182032a    CREB5 1.98e-07   323.150000   99.1133333 2.4480010 1.0000000 1.7050529
2   ML007332a  ML007332a     CTSV 1.06e-59    17.790000    6.0233333 0.8625273 0.9532701 1.5624325
34  ML282527a  ML282527a     ELK1 3.93e-28   181.430000   62.7100000 2.1831337 1.0000000 1.5326456
8   ML030418a  ML030418a   NYNRIN 1.11e-08     6.376667    2.2366667 0.8681682 0.9579378 1.5114522
29  ML258259a  ML258259a    NPTXR 5.28e-26    82.410000   31.2100000 1.5123153 0.9842126 1.4008111
20 ML1541120a ML1541120a      JUN 2.09e-25   191.046667   84.5800000 1.7640632 1.0000000 1.1755366
6   ML017430a  ML017430a     AQP1 3.72e-21    50.520000   22.3766667 1.1149981 0.9975124 1.1748595
13   ML06495a   ML06495a      F11 6.77e-08    31.870000   15.1766667 1.1369035 0.9932552 1.0703441
19   ML14875a   ML14875a    MMP24 1.79e-36    43.770000   21.5166667 1.1605221 0.9881280 1.0244878
21   ML18106a   ML18106a     PPT2 2.85e-35    40.570000   20.6433333 1.0275621 0.9907986 0.9747374
36   ML40171a   ML40171a   PABPN1 5.42e-04    45.003333   23.7866667 0.9993946 0.9678532 0.9198787
33   ML27985a   ML27985a   SEMA5A 2.67e-29    33.383333   17.9300000 1.0006406 0.9677422 0.8967525
18   ML12324a   ML12324a     PTX3 1.56e-04    35.983333   20.7633333 0.8730709 0.9567038 0.7932908
3    ML00745a   ML00745a  RNASET2 8.18e-24   114.313333   70.4100000 1.0110002 0.9710890 0.6991414
26   ML23187a   ML23187a     AQP5 3.38e-29    98.990000   62.6533333 1.0013096 0.9676810 0.6598915
35  ML368913a  ML368913a    CHIT1 6.37e-94   314.500000  201.8033333 2.1703161 1.0000000 0.6401100
23  ML206310a  ML206310a     CTSV 1.13e-47   207.530000  134.1133333 1.0944419 0.9885820 0.6298672
1   ML002222a  ML002222a     CTSK 2.10e-47   464.693333  320.0466667 1.5237016 0.9928748 0.5379967
10   ML03213a   ML03213a     CTSK 4.01e-37  1290.923333  913.6900000 1.1357006 0.9940762 0.4986267
12  ML064941a  ML064941a     CTSH 1.21e-41   635.270000  474.3200000 1.0989400 0.9896877 0.4215092
16  ML078924a  ML078924a     CTSH 4.55e-38  1442.816667 1095.0533333 1.1437529 0.9881894 0.3978869
15   ML07632a   ML07632a     HEXA 1.38e-18   177.046667  135.8366667 1.1067892 0.9937260 0.3822567
9    ML03134a   ML03134a   CHI3L1 1.02e-50   319.766667  253.2566667 1.4742715 0.9833400 0.3364193
14  ML071318a  ML071318a ATP6V1G1 4.98e-27   506.983333  405.2766667 0.9787065 0.9507712 0.3230312
30   ML26358a   ML26358a     ACTB 0.00e+00  7110.180000 5797.5300000 1.5061098 0.9691882 0.2944477

$sig_U_00_down
   Row.names        V1       V2       V3 1_hab00_mean 2_uncut_mean     theta      prob     log2FC
1  ML002242a ML002242a     H1-0 7.63e-07      0.00500     1.278333 -2.515975 1.0000000 -7.9981203
18 ML460824a ML460824a   SEMA5A 4.37e-19     15.80667    40.136667 -1.224495 0.9924934 -1.3443876
10 ML085733a ML085733a SLC25A24 6.12e-04    400.32333   858.610000 -2.001274 1.0000000 -1.1008373
9  ML085730b ML085730b SLC25A24 6.96e-04     85.75667   168.610000 -1.527666 1.0000000 -0.9753694
11  ML08649a  ML08649a     DPH3 2.67e-33     36.41667    64.970000 -1.153412 0.9923372 -0.8351748
7  ML070825a ML070825a      LPA 2.40e-43     31.11000    54.493333 -1.212235 0.9680217 -0.8087013
6  ML068119a ML068119a   GLIPR2 7.66e-15    123.63000   200.016667 -1.451551 0.9695105 -0.6940914
3   ML05653a  ML05653a     GLUL 4.19e-37    182.37333   285.086667 -1.573161 1.0000000 -0.6445058
16  ML18206a  ML18206a   SCUBE3 2.07e-06    772.46333  1102.783333 -1.125184 0.9626730 -0.5136110
12  ML10396a  ML10396a     RHCG 6.63e-06     88.22000   125.283333 -1.157689 0.9868724 -0.5060168
